sample_type,sample_id,delay_days,decision,warning_flag,support_probability,recheck_advice
小号铁钉,1,1,支持曾遭雷击,否,0.999833,recheck_with_site_evidence
小号铁钉,1,2,支持曾遭雷击,否,0.999685,recheck_with_site_evidence
小号铁钉,1,3,支持曾遭雷击,否,0.999438,recheck_with_site_evidence
小号铁钉,1,4,支持曾遭雷击,否,0.999539,recheck_with_site_evidence
小号铁钉,1,5,支持曾遭雷击,否,0.999644,recheck_with_site_evidence
小号铁钉,1,6,支持曾遭雷击,否,0.999636,recheck_with_site_evidence
小号铁钉,1,7,支持曾遭雷击,否,0.999678,recheck_with_site_evidence
小号铁钉,1,8,支持曾遭雷击,否,0.999635,recheck_with_site_evidence
小号铁钉,1,9,支持曾遭雷击,否,0.999703,recheck_with_site_evidence
小号铁钉,1,10,支持曾遭雷击,否,0.999822,recheck_with_site_evidence
小号铁钉,1,11,支持曾遭雷击,否,0.999915,recheck_with_site_evidence
小号铁钉,1,12,支持曾遭雷击,否,0.999956,recheck_with_site_evidence
小号铁钉,1,13,支持曾遭雷击,否,0.999899,recheck_with_site_evidence
小号铁钉,1,14,支持曾遭雷击,否,0.999895,recheck_with_site_evidence
小号铁钉,1,15,支持曾遭雷击,否,0.999913,recheck_with_site_evidence
小号铁钉,1,22,支持曾遭雷击,否,0.99917,recheck_with_site_evidence
小号铁钉,1,30,支持曾遭雷击,否,0.999525,recheck_with_site_evidence
小号铁钉,1,37,支持曾遭雷击,否,0.999412,recheck_with_site_evidence
小号铁钉,1,44,灰区/证据不足,是,0.999663,delay_too_long_add_other_evidence
小号铁钉,1,51,灰区/证据不足,是,0.999958,delay_too_long_add_other_evidence
小号铁钉,1,58,灰区/证据不足,是,0.999253,delay_too_long_add_other_evidence
小号铁钉,1,90,灰区/证据不足,是,0.999679,delay_too_long_add_other_evidence
小号铁钉,2,1,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,2,2,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,2,3,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,2,4,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,2,5,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,2,6,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,2,7,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,2,8,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,2,9,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,2,10,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,2,11,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,2,12,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,2,13,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,2,14,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,2,15,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,2,22,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,2,30,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,2,37,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,2,44,灰区/证据不足,是,1.0,delay_too_long_add_other_evidence
小号铁钉,2,51,灰区/证据不足,是,1.0,delay_too_long_add_other_evidence
小号铁钉,2,58,灰区/证据不足,是,1.0,delay_too_long_add_other_evidence
小号铁钉,2,90,灰区/证据不足,是,1.0,delay_too_long_add_other_evidence
小号铁钉,3,1,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,3,2,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,3,3,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,3,4,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,3,5,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,3,6,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,3,7,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,3,8,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,3,9,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,3,10,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,3,11,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,3,12,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,3,13,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,3,14,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,3,15,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,3,22,支持曾遭雷击,否,0.999999,recheck_with_site_evidence
小号铁钉,3,30,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,3,37,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,3,44,灰区/证据不足,是,1.0,delay_too_long_add_other_evidence
小号铁钉,3,51,灰区/证据不足,是,1.0,delay_too_long_add_other_evidence
小号铁钉,3,58,灰区/证据不足,是,0.999999,delay_too_long_add_other_evidence
小号铁钉,3,90,灰区/证据不足,是,1.0,delay_too_long_add_other_evidence
小号铁钉,4,1,支持曾遭雷击,否,0.999999,recheck_with_site_evidence
小号铁钉,4,2,支持曾遭雷击,否,0.999997,recheck_with_site_evidence
小号铁钉,4,3,支持曾遭雷击,否,0.999993,recheck_with_site_evidence
小号铁钉,4,4,支持曾遭雷击,否,0.999995,recheck_with_site_evidence
小号铁钉,4,5,支持曾遭雷击,否,0.999996,recheck_with_site_evidence
小号铁钉,4,6,支持曾遭雷击,否,0.999996,recheck_with_site_evidence
小号铁钉,4,7,支持曾遭雷击,否,0.999997,recheck_with_site_evidence
小号铁钉,4,8,支持曾遭雷击,否,0.999996,recheck_with_site_evidence
小号铁钉,4,9,支持曾遭雷击,否,0.999997,recheck_with_site_evidence
小号铁钉,4,10,支持曾遭雷击,否,0.999999,recheck_with_site_evidence
小号铁钉,4,11,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,4,12,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,4,13,支持曾遭雷击,否,0.999999,recheck_with_site_evidence
小号铁钉,4,14,支持曾遭雷击,否,0.999999,recheck_with_site_evidence
小号铁钉,4,15,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,4,22,支持曾遭雷击,否,0.999987,recheck_with_site_evidence
小号铁钉,4,30,支持曾遭雷击,否,0.999995,recheck_with_site_evidence
小号铁钉,4,37,支持曾遭雷击,否,0.999992,recheck_with_site_evidence
小号铁钉,4,44,灰区/证据不足,是,0.999997,delay_too_long_add_other_evidence
小号铁钉,4,51,灰区/证据不足,是,1.0,delay_too_long_add_other_evidence
小号铁钉,4,58,灰区/证据不足,是,0.99999,delay_too_long_add_other_evidence
小号铁钉,4,90,灰区/证据不足,是,0.999998,delay_too_long_add_other_evidence
小号铁钉,5,1,支持曾遭雷击,否,0.992597,recheck_with_site_evidence
小号铁钉,5,2,支持曾遭雷击,否,0.989204,recheck_with_site_evidence
小号铁钉,5,3,支持曾遭雷击,否,0.984786,recheck_with_site_evidence
小号铁钉,5,4,支持曾遭雷击,否,0.986481,recheck_with_site_evidence
小号铁钉,5,5,支持曾遭雷击,否,0.988399,recheck_with_site_evidence
小号铁钉,5,6,支持曾遭雷击,否,0.988242,recheck_with_site_evidence
小号铁钉,5,7,支持曾遭雷击,否,0.989066,recheck_with_site_evidence
